City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
148,pergamino,-33.89,-60.5736,11.21,54,0,1.07,AR,1681956444
149,egilsstadir,65.2653,-14.3948,7.43,78,32,2.96,IS,1681956444
150,lucea,18.451,-78.1736,25.92,81,0,2.51,JM,1681956444
151,redmond,47.674,-122.1215,10.16,64,97,0.89,US,1681956290
152,bekondo,4.6819,9.3214,22.77,98,100,1.18,CM,1681956445
153,howrah,22.5892,88.3103,30.0,89,20,2.06,IN,1681956445
154,saudarkrokur,65.7461,-19.6394,7.75,79,89,5.72,IS,1681956445
155,whitehorse,60.7161,-135.0538,6.68,52,100,1.09,CA,1681956446
156,filadelfia,39.9523,-75.1638,14.83,52,20,1.54,US,1681956446
157,ilulissat,69.2167,-51.1,-4.99,80,100,1.54,GL,1681956160
158,pacific grove,36.6177,-121.9166,16.36,72,0,5.81,US,1681956446
159,campina verde,-19.5356,-49.4864,18.97,83,100,2.22,BR,1681956442
160,la passe,45.5549,-0.8967,12.13,92,6,4.14,FR,1681956152
161,constantia,44.1833,28.65,10.39,93,100,6.33,RO,1681956447
162,esztergom,47.7928,18.7415,8.38,93,92,0.26,HU,1681956447
163,bathsheba,13.2167,-59.5167,26.34,78,20,6.17,BB,1681956447
164,port elizabeth,-33.918,25.5701,19.06,91,96,2.72,ZA,1681956447
165,anadyr,64.75,177.4833,-1.72,68,20,6.0,RU,1681956283
166,st. john's,47.5649,-52.7093,2.04,95,100,6.17,CA,1681956366
167,muroto-misakicho,33.2833,134.15,18.6,78,100,1.79,JP,1681956448
168,tura,25.5198,90.2201,28.2,67,0,4.0,IN,1681956448
169,pine lake park,40.0032,-74.2565,13.38,72,0,0.45,US,1681956448
170,codrington,-38.2667,141.9667,17.47,68,75,4.87,AU,1681956314
171,lihue,21.9789,-159.3672,27.42,65,20,5.14,US,1681956449
172,jamestown,42.097,-79.2353,5.77,72,75,2.06,US,1681956449
173,i-n-salah,27.1935,2.4607,25.58,16,0,3.41,DZ,1681956449
174,hawaiian paradise park,19.5933,-154.9731,23.73,95,100,3.6,US,1681956449
175,sinjar,36.3209,41.8754,17.98,52,100,3.57,IQ,1681956450
176,malabar,-33.9667,151.25,18.84,83,75,7.72,AU,1681956450
177,qamdo,31.1667,97.2333,6.18,41,50,2.77,CN,1681956451
178,la tuque,47.4334,-72.7824,-0.87,91,100,1.91,CA,1681956451
179,papao,-17.75,-149.55,29.82,79,100,5.82,PF,1681956451
180,lib,8.3122,167.3766,27.49,81,34,6.79,MH,1681956451
181,remire-montjoly,4.9167,-52.2667,24.02,100,0,2.06,GF,1681956451
182,necochea,-38.5473,-58.7368,11.02,76,0,2.11,AR,1681956452
183,ayorou,14.7308,0.9174,29.22,8,98,3.49,NE,1681956452
184,kijang,35.2442,129.2139,20.49,71,6,3.52,KR,1681956452
185,saynshand,44.8824,110.1163,6.05,11,44,5.37,MN,1681956453
186,ilha de mocambique,-15.0342,40.7358,24.87,82,100,5.53,MZ,1681956453
187,bengkulu,-3.8004,102.2655,24.92,90,100,2.02,ID,1681956453
188,selfoss,63.9331,-20.9971,7.14,93,4,2.4,IS,1681956453
189,mejit,10.2753,170.8646,26.39,83,100,7.35,MH,1681956453
190,tamiahua,21.2667,-97.45,24.4,94,100,3.21,MX,1681956454
191,mahajanga,-15.7167,46.3167,24.85,84,10,2.98,MG,1681956454
192,qarauyl,48.9451,79.255,-4.72,61,1,2.48,KZ,1681956454
193,igra,57.5558,53.0547,3.16,82,20,0.94,RU,1681956454
194,tshabong,-26.05,22.45,17.6,27,0,5.0,BW,1681956455
195,limon,10.0,-83.0333,23.92,78,17,1.45,CR,1681956455
196,boa vista,2.8197,-60.6733,28.99,65,40,4.12,BR,1681956456
197,siwa oasis,29.2041,25.5195,16.47,55,0,4.41,EG,1681956456
198,shilka,51.85,116.0333,-1.02,41,100,8.74,RU,1681956456
199,charters towers,-20.1,146.2667,28.98,37,21,4.63,AU,1681956371
200,bubaque,11.2833,-15.8333,25.28,74,13,6.26,GW,1681956370
201,bo phloi,14.3236,99.5161,31.92,46,79,3.67,TH,1681956457
202,aras-asan,8.8908,126.3033,28.93,72,77,1.89,PH,1681956457
203,ndele,8.4109,20.6473,26.11,57,74,1.61,CF,1681956457
204,zouerate,22.7187,-12.4521,20.7,42,2,4.99,MR,1681956457
205,energodar,47.4987,34.6574,8.56,95,100,2.86,UA,1681956458
206,sawakin,19.1059,37.3321,24.7,70,0,2.46,SD,1681956458
207,santa ana,33.7456,-117.8678,20.23,48,0,3.09,US,1681956459
208,kingscliff,-28.2667,153.5667,24.95,47,40,6.69,AU,1681956459
209,sao felix do xingu,-6.6447,-51.995,22.46,97,100,0.26,BR,1681956398
210,chonchi,-42.6128,-73.8092,13.56,98,74,1.01,CL,1681956459
211,konarka,19.9,86.1167,29.22,70,6,5.72,IN,1681956460
212,sena madureira,-9.0656,-68.6569,23.49,98,97,0.52,BR,1681956460
213,sao gabriel da cachoeira,-0.1303,-67.0892,25.49,80,92,1.04,BR,1681956460
214,touros,-5.1989,-35.4608,26.26,84,41,4.0,BR,1681956461
215,ulladulla,-35.35,150.4667,17.65,66,99,3.59,AU,1681956461
216,bakanas,44.8081,76.2772,5.75,31,1,5.81,KZ,1681956461
217,mugia,43.1041,-9.2179,15.09,88,100,4.84,ES,1681956281
218,puerto lempira,15.2667,-83.7667,25.27,78,6,4.28,HN,1681956462
219,uberaba,-19.7483,-47.9319,18.16,94,100,2.19,BR,1681956462
220,durg,21.1833,81.2833,30.1,19,11,0.89,IN,1681956462
221,fort bragg,35.139,-79.006,22.17,60,0,1.34,US,1681956462
222,borogontsy,62.6683,131.1683,-1.01,93,100,2.44,RU,1681956463
223,vodnyy,63.5046,53.4095,-2.5,93,91,2.41,RU,1681956463
224,hadibu,12.65,54.0333,26.73,77,9,2.47,YE,1681956463
225,ribeira brava,32.65,-17.0667,18.34,81,95,2.09,PT,1681956463
226,kabompo,-13.5927,24.2008,15.11,96,3,2.22,ZM,1681956463
227,glazov,58.1394,52.6584,2.95,71,7,0.12,RU,1681956464
228,bikin,46.8161,134.26,11.63,67,100,6.47,RU,1681956464
229,tofol,5.3248,163.0078,27.9,79,60,5.9,FM,1681956464
230,haiku-pauwela,20.9219,-156.3051,26.2,77,40,6.17,US,1681956173
231,happy valley-goose bay,53.3168,-60.3315,5.17,70,100,7.2,CA,1681956465
232,nova sintra,14.8667,-24.7167,20.56,76,100,6.3,CV,1681956465
233,san antonio de pale,-1.4014,5.6325,28.04,80,100,3.42,GQ,1681956171
234,qaqortoq,60.7167,-46.0333,-0.32,91,75,0.96,GL,1681956466
235,bohmte,52.3667,8.3167,6.99,70,100,6.16,DE,1681956466
236,tralee,52.2704,-9.7026,8.21,93,57,5.11,IE,1681956466
237,prince rupert,54.3161,-130.3201,7.05,81,75,2.57,CA,1681956466
238,chokwe,-24.5333,32.9833,16.46,93,0,0.51,MZ,1681956467
239,walvis bay,-22.9575,14.5053,15.05,73,0,7.98,NA,1681956467
240,seymour,38.9592,-85.8903,20.4,82,98,3.42,US,1681956445
241,lorengau,-2.0226,147.2712,28.19,78,80,2.84,PG,1681956467
242,cimin,39.7101,39.7021,10.04,66,75,7.2,TR,1681956468
243,chibougamau,49.9168,-74.3659,-5.21,86,100,3.6,CA,1681956361
244,babruysk,53.15,29.2333,6.33,81,35,4.2,BY,1681956188
245,antsiranana,-12.2787,49.2917,25.12,80,62,5.04,MG,1681956469
246,larache,35.1932,-6.1557,15.23,93,41,2.38,MA,1681956469
247,cova figueira,14.8905,-24.2934,20.23,79,100,5.09,CV,1681956469
248,narvik,68.4384,17.4272,7.43,96,100,2.89,NO,1681956470
249,north bend,43.4065,-124.2243,10.69,84,75,3.09,US,1681956470
250,guayaramerin,-10.8368,-65.3614,24.3,91,100,0.78,BO,1681956470
251,ocos,14.5094,-92.1933,29.1,65,94,2.6,GT,1681956470
252,kardla,58.9978,22.7492,2.25,78,15,2.73,EE,1681956471
253,swakopmund,-22.6833,14.5333,14.99,88,1,5.02,NA,1681956471
254,rio grande,-32.035,-52.0986,14.13,76,13,7.06,BR,1681956397
255,pisco,-13.7,-76.2167,21.68,88,0,6.69,PE,1681956291
256,krasnyy chikoy,50.3643,108.7512,-6.27,32,0,4.86,RU,1681956471
257,angul,20.85,85.1,35.14,16,3,1.53,IN,1681956472
258,mount gambier,-37.8333,140.7667,16.65,70,100,3.81,AU,1681956234
259,sarkand,45.41,79.9186,3.43,39,40,1.86,KZ,1681956472
260,alta,69.9689,23.2717,3.44,83,100,1.03,NO,1681956472
261,alice springs,-23.7,133.8833,19.75,49,0,7.72,AU,1681956473
262,pudozh,61.8099,36.5345,-0.57,96,100,1.41,RU,1681956473
263,rieti,42.4072,12.8592,9.23,92,96,0.79,IT,1681956473
264,vilyuysk,63.7553,121.6247,-1.57,86,96,3.33,RU,1681956474
265,boguchany,58.3814,97.4531,-4.62,78,100,2.96,RU,1681956474
266,severo-yeniseyskiy,60.3725,93.0408,-9.54,91,100,2.1,RU,1681956474
267,emerald,-23.5333,148.1667,26.3,57,10,3.81,AU,1681956474
268,thinadhoo,0.5333,72.9333,27.87,74,97,1.93,MV,1681956475
269,ust-nera,64.5667,143.2,-4.86,83,100,4.0,RU,1681956475
270,tongchuanshi,35.0806,109.0897,20.33,27,7,5.58,CN,1681956475
271,cabo san lucas,22.8909,-109.9124,25.17,61,75,3.09,MX,1681956347
272,sabang,5.8933,95.3214,28.48,74,100,5.15,ID,1681956476
273,seosan,36.7817,126.4522,14.97,81,92,2.86,KR,1681956476
274,pryor,36.3084,-95.3169,23.43,78,40,10.8,US,1681956411
275,kuta,-8.7233,115.1723,30.0,79,75,6.71,ID,1681956476
276,vilyuchinsk,52.9306,158.4028,7.15,93,100,2.58,RU,1681956476
277,mariestad,58.7097,13.8237,-0.28,71,0,1.68,SE,1681956477
278,rayachoti,14.05,78.75,27.71,46,6,2.1,IN,1681956477
279,steinbach,50.1667,8.5667,6.46,62,0,5.14,DE,1681956477
280,bamboo flat,11.7,92.7167,29.67,63,48,2.92,IN,1681956478
281,nema,57.5067,50.5011,2.86,91,0,1.87,RU,1681956478
282,ocean city,39.2776,-74.5746,12.21,84,0,2.68,US,1681956478
283,weno,7.4515,151.8468,27.14,79,100,8.4,FM,1681956478
284,newman,37.3138,-121.0208,17.13,41,4,4.02,US,1681956479
285,kayes,14.0,-11.0,32.04,16,6,3.86,ML,1681956479
286,minden,52.2833,8.9167,6.16,78,100,6.17,DE,1681956479
287,julio de castilhos,-29.2269,-53.6817,7.52,85,2,3.06,BR,1681956480
288,putina,-15.4667,-69.4333,6.12,87,16,3.71,PE,1681956480
289,berdigestyakh,62.0989,126.6992,-2.77,87,100,4.28,RU,1681956480
290,labytnangi,66.6572,66.4183,-7.94,91,100,1.52,RU,1681956480
291,inhambane,-23.865,35.3833,19.24,85,0,2.65,MZ,1681956481
292,zhosaly,45.4878,64.0781,8.03,29,8,4.76,KZ,1681956481
293,kollam,8.8833,76.6,28.1,78,24,1.92,IN,1681956481
294,pierre,44.3683,-100.351,12.93,52,20,3.6,US,1681956338
295,wuchang,44.9143,127.15,10.62,12,83,12.64,CN,1681956481
296,yerofey pavlovich,53.9667,121.9667,-0.57,48,100,5.53,RU,1681956246
297,rio bueno,-40.3167,-72.9667,15.08,97,96,1.96,CL,1681956482
298,freetown,8.484,-13.2299,27.23,83,92,2.77,SL,1681956482
299,kembe,4.6228,21.8865,22.55,73,95,0.97,CF,1681956482
300,puerto baquerizo moreno,-0.9,-89.6,25.99,80,100,3.6,EC,1681956287
301,anuradhapura,8.3565,80.4173,26.55,85,48,3.17,LK,1681956483
302,portland,45.5234,-122.6762,10.02,74,82,2.68,US,1681956231
303,taulaga,-11.0553,-171.0883,28.56,71,10,4.29,AS,1681956289
304,sinop,41.7711,34.8709,8.72,98,99,1.57,TR,1681956273
305,murghob,38.1702,73.9667,-4.86,91,100,1.45,TJ,1681956484
306,ballina,-28.8667,153.5667,22.31,59,96,6.9,AU,1681956484
307,queenstown,-31.8976,26.8753,14.53,33,75,2.99,ZA,1681956485
308,arroio grande,-32.2375,-53.0869,10.68,84,7,4.37,BR,1681956485
309,revelstoke,50.9832,-118.2023,6.47,79,100,0.26,CA,1681956485
310,kingston,17.997,-76.7936,27.53,81,20,5.66,JM,1681956346
311,santa terezinha,-29.9002,-50.0904,14.44,71,5,7.08,BR,1681956486
312,khovd,48.0056,91.6419,0.09,22,0,4.06,MN,1681956486
313,uruzgan,32.8333,66.0,10.55,59,0,2.08,AF,1681956486
314,santana,-0.0583,-51.1817,26.1,94,0,2.06,BR,1681956487
315,romanovo,52.6182,81.2271,-6.93,85,14,3.62,RU,1681956487
316,harper,4.375,-7.7169,25.35,87,100,1.84,LR,1681956488
